Waypoint명,LATITUDE,LONGITUDE,Type,FIR(GIS계산),FIR_Name
AA,S37-00-16.69,E174-48-49.10,NAV,NZAA,POINT (174.8136388888889 -37.00463611111111)
AA,S37-00-16.69,E174-48-49.10,NAV,NZZO,POINT (174.8136388888889 -37.00463611111111)
AA,N68-43-23.35,W052-47-05.36,NDB,BGGL,POINT (-52.78482222222222 68.72315277777778)
AA,N68-43-23.35,W052-47-05.36,NDB,BIRD,POINT (-52.78482222222222 68.72315277777778)
AA,N68-43-23.35,W052-47-05.36,NDB,BIRD-W,POINT (-52.78482222222222 68.72315277777778)
AAE,N23-04-07.29,E072-37-43.49,NAV,VAAH,POINT (72.62874722222222 23.068691666666666)
AAE,N23-04-07.29,E072-37-43.49,NAV,VABF,POINT (72.62874722222222 23.068691666666666)
AAE,N23-04-07.29,E072-37-43.49,NAV,VABF-UAC,POINT (72.62874722222222 23.068691666666666)
AAL,N57-06-13.37,E009-59-44.10,NAV,EKDK,POINT (9.995583333333332 57.10371388888889)
AAL,N57-06-13.37,E009-59-44.10,NAV,EKDK-W,POINT (9.995583333333332 57.10371388888889)
AAL,N57-06-13.37,E009-59-44.10,NAV,EKDK-L,POINT (9.995583333333332 57.10371388888889)
AAR,N31-43-40.88,E074-47-09.27,NAV,VIAR,POINT (74.78590833333332 31.728022222222222)
AAR,N31-43-40.88,E074-47-09.27,NAV,VIDF,POINT (74.78590833333332 31.728022222222222)
AAR,N31-43-40.88,E074-47-09.27,NAV,VIDF-LD4,POINT (74.78590833333332 31.728022222222222)
AAR,N31-43-40.88,E074-47-09.27,NAV,VIDF-UAC,POINT (74.78590833333332 31.728022222222222)
AAR,N31-43-40.88,E074-47-09.27,NAV,VIDF-UD4,POINT (74.78590833333332 31.728022222222222)
AAR,N30-54-28.86,E041-08-31.80,NAV,OEJD,POINT (41.14216666666667 30.908016666666665)
AAR,N30-54-28.86,E041-08-31.80,NAV,OEJD-3,POINT (41.14216666666667 30.908016666666665)
AAR,N30-54-28.86,E041-08-31.80,NAV,OEJD-N,POINT (41.14216666666667 30.908016666666665)
AAR,N30-54-28.86,E041-08-31.80,NAV,OERD,POINT (41.14216666666667 30.908016666666665)
AAR,N30-54-28.86,E041-08-31.80,NAV,OERD-N,POINT (41.14216666666667 30.908016666666665)
AAT,N23-53-25.49,E091-14-19.12,NAV,VECF,POINT (91.23864444444445 23.89041388888889)
AAT,N23-53-25.49,E091-14-19.12,NAV,VECF-UAC,POINT (91.23864444444445 23.89041388888889)
AAT,N23-53-25.49,E091-14-19.12,NAV,VECF-UGT,POINT (91.23864444444445 23.89041388888889)
AAT,N23-53-25.49,E091-14-19.12,NAV,VEGF,POINT (91.23864444444445 23.89041388888889)
AAU,N19-51-39.24,E075-24-21.81,NAV,VABB,POINT (75.40605833333333 19.8609)
AAU,N19-51-39.24,E075-24-21.81,NAV,VABB-LC,POINT (75.40605833333333 19.8609)
AAU,N19-51-39.24,E075-24-21.81,NAV,VABF,POINT (75.40605833333333 19.8609)
AAU,N19-51-39.24,E075-24-21.81,NAV,VABF-UAC,POINT (75.40605833333333 19.8609)
ABA,N12-30-20.38,W069-56-35.18,NAV,TNCF,POINT (-69.94310555555556 12.505661111111111)
ABA,S34-57-07.80,E117-48-37.94,NDB,YHYD,POINT (117.81053888888889 -34.95216666666667)
ABA,S34-57-07.80,E117-48-37.94,NDB,YJAR,POINT (117.81053888888889 -34.95216666666667)
ABB,N50-08-06.51,E001-51-16.90,NAV,LFEE,POINT (1.8546944444444444 50.13514166666667)
ABB,N50-08-06.51,E001-51-16.90,NAV,LFEE-N,POINT (1.8546944444444444 50.13514166666667)
ABB,N50-08-06.51,E001-51-16.90,NAV,LFFF,POINT (1.8546944444444444 50.13514166666667)
ABB,N50-08-06.51,E001-51-16.90,NAV,LFFF-AENB,POINT (1.8546944444444444 50.13514166666667)
ABB,N50-08-06.51,E001-51-16.90,NAV,LFFF-RPAW,POINT (1.8546944444444444 50.13514166666667)
ABC,N09-02-16.08,E007-17-06.42,NAV,DNKK,POINT (7.285116666666666 9.0378)
ABC,N09-02-16.08,E007-17-06.42,NAV,DNKK-W,POINT (7.285116666666666 9.0378)
ABD,N30-22-31.11,E048-13-14.17,NAV,OIIX,POINT (48.22060277777778 30.375308333333333)
ABD,N30-22-31.11,E048-13-14.17,NAV,TEH-3N,POINT (48.22060277777778 30.375308333333333)
ABD,N30-22-31.11,E048-13-14.17,NAV,TEH-3,POINT (48.22060277777778 30.375308333333333)
